city,lat,lon
PICHINCHA,-0.2150411132,-78.331426031
AZUAY,-2.9067057086,-79.0007860668
GUAYAS,-2.1777994777,-78.8867646749
PICHINCHA,-0.2045114631,-78.4360160456
LOS_RIOS,-1.0136885234,-79.3924463665
BOLIVAR,-1.5853348037,-78.94993905
GUAYAS,-2.160350897,-79.8309975768
GUAYAS,-1.970776842,-79.7491853069
BOLIVAR,-1.7030597499,-78.9586052512
IMBABURA,0.3538509217,-78.0889823324
GUAYAS,-1.9547115003,-79.9986699874
ESMERALDAS,0.95784231,-79.6196876328
GUAYAS,0.3678511855,-78.2704061901
PICHINCHA,-0.2104365428,-78.5718519536
GUAYAS,0.3750082073,-78.0893267103
GUAYAS,-2.0744844106,-79.8582257449
ESMERALDAS,0.9573888183,-79.7041504489
EL_ORO,-3.3262113878,-79.8095296458
NAPO,-0.9952276517,-77.8405944923
SUCUMBIOS,-0.149887079,-76.1951276707
EL_ORO,-3.326933147,-79.7241788948
EL_ORO,-3.4847897252,-80.1995496214
EL_ORO,-3.2557971681,-79.9755247884
NAPO,-1.0019242702,-77.9996133058
PICHINCHA,-0.2634955752,-78.4907977659
PICHINCHA,-0.2739170903,-78.5876933598
LOS_RIOS,-1.5585263065,-79.6684536131
PICHINCHA,-0.268799383,-78.5000722183
ESMERALDAS,0.9529326133,-79.6483260753
LOS_RIOS,-1.0324151692,-79.5474795647
ESMERALDAS,1.2923501885,-78.79414203
PICHINCHA,-0.0895787728,-78.3295640912
EL_ORO,-3.328012719,-79.76183206
GUAYAS,-2.1235731394,-79.4995374012
CARCHI,0.552960567,-77.7321764176
ESMERALDAS,1.057740675,-79.405516559
PICHINCHA,-0.1743445517,-78.3828219808
BOLIVAR,-1.7096047843,-79.1303672458
PICHINCHA,0.1398019656,-78.7397549568
LOS_RIOS,-1.8189290346,-79.4804478551
GUAYAS,-1.8698347829,-80.0172844034
PICHINCHA,-0.2605632076,-78.5427587211
ORELLANA,-0.2972822968,-76.8916792976
MANABI,-0.9766448934,-80.7008144796
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2402663618,-79.161222707
PICHINCHA,-0.1219616324,-78.5072970154
SUCUMBIOS,0.0990600724,-76.9619666162
SUCUMBIOS,-0.1397574644,-76.3660313422
LOS_RIOS,-1.0327159031,-79.5247363389
SUCUMBIOS,0.0941966203,-76.9190841562
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2389577473,-79.160974576
MANABI,-0.8423342624,-79.7119198851
GUAYAS,-1.9536202663,-79.8013984155
PICHINCHA,-0.0962428842,-78.4423247444
GUAYAS,0.3653230747,-78.0646027151
GUAYAS,-1.9437064029,-80.1213054726
GUAYAS,-2.6384425316,-80.3302564547
MANABI,0.0752229974,-80.0496580073
GUAYAS,-1.9433544149,-79.8438511406
LOS_RIOS,-1.7979325571,-79.6270149127
LOS_RIOS,-1.0201714595,-79.5183279176
LOS_RIOS,-1.0130699013,-79.5271194954
EL_ORO,-3.2576662774,-79.8943474996
PICHINCHA,-0.1721430897,-78.4409266883
SUCUMBIOS,0.0966536818,-76.9220018374
TUNGURAHUA,-1.2556301865,-78.5770570755
TUNGURAHUA,-1.2535734944,-78.5125686081
COTOPAXI,-0.7522812271,-78.4588781479
MANABI,-1.0352863746,-79.7344190853
SUCUMBIOS,0.097579433,-76.9580625846
SUCUMBIOS,0.1001090575,-76.8548381109
SUCUMBIOS,0.1016267418,-76.8975142828
GUAYAS,-2.1366680769,-79.5899063434
SUCUMBIOS,0.099019527,-76.8588552692
SUCUMBIOS,-0.137605483,-76.3638912603
SUCUMBIOS,-0.1513651331,-76.3128131782
ORELLANA,-0.6988851613,-77.2455962268
ORELLANA,-0.6940438823,-77.2757845573
SUCUMBIOS,0.0919863908,-76.8808329673
SUCUMBIOS,0.0882399055,-76.9015216487
ORELLANA,-0.3003218281,-76.8074467648
SUCUMBIOS,0.1004353596,-76.8323101396
SUCUMBIOS,0.1036159011,-76.9347523171
GUAYAS,0.3582958528,-78.1126814718
ORELLANA,-0.2922127111,-76.9275892855
SUCUMBIOS,0.1035690338,-76.8548720821
GUAYAS,0.3580424468,-78.1816364359
CARCHI,0.8203569687,-77.7879285752
GUAYAS,-2.1179980876,-79.5917757779
CARCHI,0.8230533376,-77.6845436912
SUCUMBIOS,-0.1454812118,-76.2714192275
SUCUMBIOS,0.0958930303,-76.8300720415
AZUAY,-2.9099136493,-78.8698992148
SUCUMBIOS,0.1006139613,-76.8297500439
LOS_RIOS,-1.0141349048,-79.424133387
LOJA,-4.3144173033,-79.5831876484
CANAR,-2.4199635483,-79.3766799091
ORELLANA,-0.6810364512,-77.3246726707
GUAYAS,-1.9700577321,-79.8970071047
PICHINCHA,-0.1126934059,-78.4611356427
LOS_RIOS,-1.5597360561,-79.6745903375
GUAYAS,-2.6332215327,-80.311768811
GUAYAS,-2.6320833298,-80.318896855
ESMERALDAS,0.3285367308,-79.2802782876
PICHINCHA,-0.1728465786,-78.3989063037
PICHINCHA,-0.2208976508,-78.3606919815
GUAYAS,-2.111785604,-79.6122370533
SUCUMBIOS,-0.141941831,-76.3114027975
LOS_RIOS,-1.0186681755,-79.5225906772
LOS_RIOS,-1.5635902971,-79.4436487023
PICHINCHA,-0.1695443865,-78.498447243
PICHINCHA,-0.1974111811,-78.4239700162
PASTAZA,-1.6429860706,-77.0979681368
MANABI,-0.777588673,-80.1489403196
ESMERALDAS,1.0598858248,-79.4164519489
EL_ORO,-3.2616982277,-80.0089746152
AZUAY,-3.0656388584,-79.6777667227
PICHINCHA,-0.2104344651,-78.4285471371
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2406349466,-79.1698556832
GUAYAS,-2.1117836251,-79.6404272567
GUAYAS,-1.062867586,-79.5868294258
PICHINCHA,-0.1597125424,-78.3625298803
ESMERALDAS,0.3240058875,-79.3122226739
GUAYAS,-2.1298829964,-79.6736635486
GUAYAS,-1.8653254593,-80.0210753731
ESMERALDAS,0.9512047409,-79.6305338311
IMBABURA,0.3536593602,-78.0580128386
GUAYAS,-2.1311288738,-79.8394794476
GUAYAS,-2.1172050943,-79.9559600024
LOS_RIOS,-1.7831972391,-79.4792709607
EL_ORO,-3.2581788677,-79.9521948895
PICHINCHA,-0.1701792905,-78.5555936435
MANABI,-0.2706135942,-79.5498160551
PICHINCHA,0.1359649229,-78.8809815026
GUAYAS,-1.868676312,-79.8984955618
LOS_RIOS,-1.8002830914,-79.5240209795
BOLIVAR,-1.5868766621,-79.0492748495
PICHINCHA,-0.1713936726,-78.4438661759
ORELLANA,-0.2988327873,-76.8466306075
PICHINCHA,0.1574691675,-78.7775730546
GUAYAS,-2.1166914587,-79.9906856478
AZUAY,-2.8725712087,-78.8932974527
PICHINCHA,-0.1717304188,-78.3778236851
MANABI,-0.8432880504,-79.7170258706
ESMERALDAS,0.3212962873,-79.3048175379
EL_ORO,-3.4782640416,-80.2545559928
ESMERALDAS,1.2938983912,-78.7732674228
MANABI,0.0729867158,-80.0986156479
GUAYAS,-1.9661398508,-80.0011389293
PICHINCHA,-0.2066696737,-78.5516476976
GUAYAS,-2.1304508517,-79.7785596232
PICHINCHA,-0.2511792624,-78.4031368982
PASTAZA,-1.6295061829,-76.9177168779
GUAYAS,-2.0712552707,-80.0138149602
EL_ORO,-3.4719647323,-80.1358268905
ORELLANA,-0.2972449917,-76.8756587051
LOS_RIOS,-1.0243046971,-79.5153985216
ESMERALDAS,0.9476884094,-79.6458264136
AZUAY,-2.9300211512,-78.8795283317
PICHINCHA,-0.0886582002,-78.3612500909
ESMERALDAS,0.3175947925,-79.4609710169
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2414843458,-79.1634334703
EL_ORO,-3.2520104831,-79.9862167425
PICHINCHA,-0.2090016295,-78.3799794903
MANABI,-0.9582507943,-80.6112953594
CHIMBORAZO,-1.646750155,-78.6305265547
AZUAY,-2.7829344383,-78.7809631316
PICHINCHA,-0.1240667574,-78.4485621537
AZUAY,-3.0530915263,-79.659840562
GUAYAS,-2.1290653319,-79.6218229984
GUAYAS,-1.9537481763,-79.9262439506
ESMERALDAS,0.3232021171,-79.283622947
GUAYAS,-1.9673087971,-79.8260305824
EL_ORO,-3.6818642753,-79.5454413119
LOS_RIOS,-1.017748374,-79.5088350067
LOS_RIOS,-0.8946548542,-79.4378592455
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2405756449,-79.1668704172
CARCHI,0.8235165859,-77.8011993237
PICHINCHA,0.1351532849,-78.8839154723
PICHINCHA,-0.0893514367,-78.3826711888
GUAYAS,-2.1770330054,-78.8889588307
GUAYAS,-2.6473093557,-80.279696118
EL_ORO,-3.3278067987,-79.7788466428
AZUAY,-3.0623966881,-79.6756956518
GUAYAS,-2.6344966951,-80.4688487211
EL_ORO,-3.254459802,-79.9616824224
MANABI,-0.8417547949,-79.7010658854
AZUAY,-3.0620959865,-79.7851197905
GUAYAS,0.3568256627,-77.9877686687
GUAYAS,-2.0709900473,-79.8796045202
ESMERALDAS,0.9769254859,-79.5722274584
GUAYAS,-1.9586645782,-79.9136935363
ESMERALDAS,0.3307035101,-79.3811781059
PICHINCHA,0.1554296032,-78.7054284701
GUAYAS,-2.1253879701,-80.0509748539
EL_ORO,-3.3278080577,-79.7456202831
GUAYAS,-2.1397635989,-79.636949407
PICHINCHA,0.1544767195,-78.8878240238
AZUAY,-2.871670099,-78.8857915235
EL_ORO,-3.3259220965,-79.7420691978
AZUAY,-2.9102036022,-79.0153552512
MANABI,-0.8415315157,-79.7016653564
AZUAY,-2.8726219369,-78.9392729699
PICHINCHA,-0.2056493177,-78.5578686289
ESMERALDAS,0.96186117,-79.6641757938
EL_ORO,-3.2650707662,-79.9084748221
MANABI,-0.9705040339,-80.6539204021
MANABI,-0.9644192479,-80.737596389
GUAYAS,-1.9619928328,-79.8264353553
GUAYAS,-2.1187138301,-79.6962924652
PICHINCHA,-0.1185650412,-78.4051486603
GUAYAS,-2.1257476019,-79.5098042226
IMBABURA,0.3535652681,-78.0604913782
MANABI,-0.7718714088,-80.2616104698
GUAYAS,0.3596464472,-78.2199374843
LOS_RIOS,-1.0228407779,-79.5150999233
GUAYAS,-2.0720262681,-79.8732456283
GUAYAS,-2.1338755494,-79.5676086274
MANABI,-0.9659484388,-80.7667208608
CHIMBORAZO,-1.6572131493,-78.5730925662
GUAYAS,-2.6485249944,-80.3111936476
GUAYAS,-2.0683270939,-79.9346481602
MANABI,0.0826307298,-80.0566303403
IMBABURA,0.2937135681,-78.2692096972
AZUAY,-2.9184430549,-78.8102129257
PICHINCHA,0.1558688247,-78.8874870067
GUAYAS,0.3753809496,-78.0735075474
LOS_RIOS,-0.883667716,-79.5486315849
AZUAY,-3.0527173716,-79.6573455404
LOS_RIOS,-0.8794475871,-79.4230673953
PICHINCHA,-0.1209295868,-78.4982344812
GUAYAS,-2.1189423181,-79.6949505832
GUAYAS,-2.0648981133,-79.8638988383
PICHINCHA,-0.1315908688,-78.5035792978
GUAYAS,-2.1181753668,-79.4862184845
GUAYAS,-2.6447883208,-80.2810452714
GUAYAS,0.3915669589,-78.2517649112
GUAYAS,-2.1611030614,-79.8333600545
MANABI,-0.840604143,-79.6998927199
GUAYAS,-1.8360875498,-79.824004117
GUAYAS,0.3875725261,-78.1394493587
AZUAY,-2.8718255857,-78.8894546268
GUAYAS,-1.9691150849,-79.9724572118
GUAYAS,-2.13177185,-79.9898233267
EL_ORO,-3.4585611252,-80.0693130192
COTOPAXI,-0.7531637892,-78.5023184647
PICHINCHA,-0.1731228784,-78.5215366068
LOS_RIOS,-1.4416117247,-79.3873834038
PICHINCHA,-0.1754994758,-78.4255413383
GUAYAS,-1.9583734275,-79.9110280212
BOLIVAR,-1.7095232065,-79.0881348039
GUAYAS,-2.1239643215,-79.8952023823
GUAYAS,-1.3765666993,-79.8276464265
MANABI,-0.2693106734,-79.4837947792
PICHINCHA,-0.1731638927,-78.4629602671
LOS_RIOS,-0.8907896535,-79.3910195744
GUAYAS,-2.1179596396,-80.1451935272
PICHINCHA,-0.1952203255,-78.4832598786
IMBABURA,0.3477738777,-78.0743230625
EL_ORO,-3.3258179687,-79.7538760222
GUAYAS,-1.8324244314,-79.8353254172
LOS_RIOS,-1.0150783209,-79.5214671152
GUAYAS,-2.0890765434,-79.7177017373
GUAYAS,0.385065019,-78.1856392862
PICHINCHA,-0.2498106974,-78.5074224385
LOS_RIOS,-1.5612105419,-79.451331317
ESMERALDAS,0.9521144914,-79.7616213267
GUAYAS,-2.1313358761,-79.6003757612
EL_ORO,-3.3251122434,-79.859432406
LOS_RIOS,-1.0330576038,-79.4522856959
PICHINCHA,-0.1730710087,-78.3411308789
LOS_RIOS,-1.5574920988,-79.5216881842
LOJA,-4.3778490643,-79.8885234598
PICHINCHA,-0.2519436242,-78.4686352203
LOS_RIOS,-1.7885509058,-79.5828170123
EL_ORO,-3.4723777811,-80.2960292228
PICHINCHA,-0.1608296247,-78.3414182821
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2464659148,-79.2139962486
GUAYAS,-1.811353042,-80.2900189862
CANAR,-2.4217788704,-79.3561036827
COTOPAXI,-1.0370143518,-78.6211617905
ESMERALDAS,0.9592861063,-79.6219210666
LOS_RIOS,-1.5471522324,-79.6587069278
GUAYAS,-1.8248935457,-80.2600546978
GUAYAS,-2.6410619353,-80.3555447332
CANAR,-2.7442845088,-78.777560347
LOS_RIOS,-1.4358057694,-79.5595647078
GUAYAS,-1.96181499,-79.954718514
GUAYAS,-1.8238224488,-80.2885778455
CARCHI,0.8139966008,-77.6607932422
GUAYAS,-2.6480811029,-80.3674212109
ESMERALDAS,0.3283063651,-79.4244478895
GUAYAS,-1.8277758859,-80.190359436
LOS_RIOS,-1.0140229308,-79.4611484583
LOS_RIOS,-0.8897042047,-79.5766679979
GUAYAS,-1.3614169324,-79.9092417611
CHIMBORAZO,-2.1984387415,-78.8603059148
GUAYAS,-1.9619290693,-79.8832934762
LOS_RIOS,-1.5648273491,-79.5508768261
ESMERALDAS,0.8897377186,-79.946574997
GUAYAS,-1.066672938,-79.6673206973
GUAYAS,-1.9613278598,-79.8915677105
GUAYAS,-1.9813948541,-79.7863383273
PICHINCHA,-0.0891579926,-78.3522723032
GUAYAS,-2.1301845205,-79.669357387
LOS_RIOS,-0.8853522596,-79.398106873
COTOPAXI,-0.9474541544,-79.2448021626
GUAYAS,-1.8250143023,-79.8454519075
LOS_RIOS,-0.8795750472,-79.5807124753
LOS_RIOS,-1.8211908559,-79.5972882983
PICHINCHA,0.1360305081,-78.8384318146
LOS_RIOS,-1.561966199,-79.6590542731
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2401441485,-79.1648347198
ESMERALDAS,1.2888978427,-78.8387410014
GUAYAS,-1.3683896809,-79.993017075
PICHINCHA,-0.2212022185,-78.3678849586
GUAYAS,-1.8141087492,-80.1916514216
LOS_RIOS,-1.7945642351,-79.4911017964
PICHINCHA,-0.0869970115,-78.3546596693
LOS_RIOS,-1.5480678863,-79.6681070217
CANAR,-2.4212483265,-79.2507863063
ESMERALDAS,1.29395239,-78.7989142236
ESMERALDAS,0.8894626215,-79.9393115411
MANABI,-0.9763460379,-80.6217968856
LOS_RIOS,-0.8872670682,-79.5253893118
ESMERALDAS,1.2938418736,-78.79750374
EL_ORO,-3.2621425294,-79.9508531772
LOJA,-4.0127085421,-79.2147335539
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2402782607,-79.1819505543
GUAYAS,-2.0981463647,-79.6861742887
ESMERALDAS,1.2927688829,-78.7679761833
COTOPAXI,-0.6810602946,-78.8521458781
PICHINCHA,-0.2059824093,-78.3794821618
LOS_RIOS,-1.4431272597,-79.5059026613
GUAYAS,-1.8523457853,-80.0552501644
GUAYAS,-1.8662401283,-80.038812675
SANTO_DOMINGO_DE_LOS_TSACHILAS,-0.2386427493,-79.183021141
CARCHI,0.8100219666,-77.6333269449
GUAYAS,-1.9576572918,-79.9471022568
GUAYAS,-2.6371099733,-80.3644412685
LOS_RIOS,-1.8036189908,-79.434568904
PICHINCHA,-0.1706315237,-78.3539373128
EL_ORO,-3.3245420197,-79.775489701
MANABI,-0.7780134767,-80.199450186
LOS_RIOS,-1.5592598051,-79.6691332763
IMBABURA,0.30320744,-78.394778661
PICHINCHA,-0.1725891785,-78.3406153871
PICHINCHA,-0.212472946,-78.5128509546
ESMERALDAS,0.9545772909,-79.6280036548
PICHINCHA,0.0397035987,-78.2163760118
PICHINCHA,-0.2072528217,-78.3571707333
PICHINCHA,0.1550888227,-78.8426656383
PICHINCHA,-0.1019681567,-78.3606490026
AZUAY,-2.871238609,-79.0209103283
